,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p
39,Stk10_ENSMUSG00000020272,0.14667622556716808,Lgals9_ENSMUSG00000001123,0.09433779528922469,Lair1_ENSMUSG00000055541,0.8524901593868359,Pfkfb4_ENSMUSG00000025648,0.8655993734133421,Mrpl51_ENSMUSG00000030335,0.8795632622484187,Ndufa2_ENSMUSG00000014294,0.8869743120400594
40,Otub1_ENSMUSG00000024767,0.14667622556716808,Psmb8_ENSMUSG00000024338,0.09433779528922469,Ldha_ENSMUSG00000063229,0.8524901593868359,Pgls_ENSMUSG00000031807,0.8655993734133421,Mrpl55_ENSMUSG00000036860,0.8795632622484187,Ncl_ENSMUSG00000026234,0.8869743120400594
41,Coro1a_ENSMUSG00000030707,0.1529917393876183,Irf5_ENSMUSG00000029771,0.09731551956511707,Micu1_ENSMUSG00000020111,0.8524901593868359,Phyh_ENSMUSG00000026664,0.8655993734133421,Ldha_ENSMUSG00000063229,0.8795632622484187,Dnajb14_ENSMUSG00000074212,0.8869743120400594
42,Rps15a_ENSMUSG00000008683,0.1529917393876183,Cdc42_ENSMUSG00000006699,0.09883230753734992,Leprotl1_ENSMUSG00000031513,0.8524901593868359,Prkch_ENSMUSG00000021108,0.8655993734133421,Mrpl42_ENSMUSG00000062981,0.8795632622484187,Aco1_ENSMUSG00000028405,0.8869743120400594
43,Rps27a_ENSMUSG00000020460,0.1529917393876183,Csf1r_ENSMUSG00000024621,0.10036790871587334,Macf1_ENSMUSG00000028649,0.8524901593868359,Emc2_ENSMUSG00000022337,0.8655993734133421,Mrpl37_ENSMUSG00000028622,0.8795632622484187,Dlgap4_ENSMUSG00000061689,0.8869743120400594
44,Gm9843_ENSMUSG00000050299,0.15669232528594199,Sept9_ENSMUSG00000059248,0.10036790871587334,Lgmn_ENSMUSG00000021190,0.8524901593868359,Prkaa1_ENSMUSG00000050697,0.8655993734133421,Mrpl17_ENSMUSG00000030879,0.8795632622484187,Ndufs8_ENSMUSG00000059734,0.8869743120400594
45,Rps7_ENSMUSG00000061477,0.15856788494201668,Stk4_ENSMUSG00000018209,0.10589278090847636,Limd1_ENSMUSG00000025239,0.8524901593868359,Apbb1ip_ENSMUSG00000026786,0.8655993734133421,Mast3_ENSMUSG00000031833,0.8795632622484187,Rps15a-ps4_ENSMUSG00000083757,0.8869743120400594
46,Prdx5_ENSMUSG00000024953,0.1682013726133219,Shisa5_ENSMUSG00000025647,0.11334751555724658,Lpcat4_ENSMUSG00000027134,0.8524901593868359,Galnt10_ENSMUSG00000020520,0.8655993734133421,Magohb_ENSMUSG00000030188,0.8795632622484187,Sarnp_ENSMUSG00000078427,0.8869743120400594
47,Vim_ENSMUSG00000026728,0.17117541794790836,Dbnl_ENSMUSG00000020476,0.1142007289111534,Nob1_ENSMUSG00000003848,0.8524901593868359,Gcc2_ENSMUSG00000038039,0.8655993734133421,Aldh3b1_ENSMUSG00000024885,0.8795632622484187,Rps17_ENSMUSG00000061787,0.8869743120400594
48,Ptprc_ENSMUSG00000026395,0.1731798788075316,Nr4a1_ENSMUSG00000023034,0.1150589898910004,Lpl_ENSMUSG00000015568,0.8524901593868359,Pigx_ENSMUSG00000023791,0.8655993734133421,Map1lc3b_ENSMUSG00000031812,0.8795632622484187,Ndufs5_ENSMUSG00000028648,0.8869743120400594
49,Anxa2_ENSMUSG00000032231,0.1731798788075316,Ikbkb_ENSMUSG00000031537,0.12031555139289925,Lrch1_ENSMUSG00000068015,0.8524901593868359,Pin4_ENSMUSG00000079480,0.8655993734133421,Leprotl1_ENSMUSG00000031513,0.8795632622484187,Rpl36-ps12_ENSMUSG00000091845,0.8869743120400594
